UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
-62078824.07,-238902585,-1115823.242,19.14279177,-68.41277391,-2.296954576,88819717.81,-123562602.9,-6009894.496,37.490362,-12.06131671,-1.946321261
-60385345.54,-244797995.8,-1316349.645,20.05635722,-68.05080745,-2.344701232,92046501.46,-124587630.5,-6177221.072,37.2045463,-11.6691231,-1.927062252
-58613396.97,-250661032.8,-1520959.599,20.95910961,-67.66343373,-2.391475155,95248808.77,-125579520.6,-6342904.974,36.92377722,-11.29405789,-1.908293542
-56763943.07,-256489515.1,-1729567.5,21.85034593,-67.25098685,-2.437240366,98427074.72,-126539706.2,-6506987.827,36.64802702,-10.93505528,-1.889998129
-54838008.81,-262281291.4,-1942084.672,22.72937391,-66.8138203,-2.481961772,101581731.1,-127469532.4,-6669509.804,36.37725075,-10.59113332,-1.872159431
-52836678.48,-268034242,-2158419.447,23.59551255,-66.35230653,-2.525605191,104713205.2,-128370262.2,-6830509.665,36.11138964,-10.2613862,-1.854761339
-50761094.74,-273746280,-2378477.244,24.44809263,-65.86683662,-2.568137376,107821918.8,-129243084,-6990024.802,35.85037402,-9.944977185,-1.837788242
-48612457.49,-279415353.2,-2602160.651,25.28645723,-65.35781986,-2.609526039,110908287.2,-130089116.1,-7148091.278,35.59412565,-9.641132437,-1.821225055
-46392022.9,-285039445.4,-2829369.508,26.10996215,-64.82568334,-2.649739871,113972718.6,-130909412.8,-7304743.878,35.34255968,-9.349135359,-1.805057224
-44101102.18,-290616578.2,-3060000.992,26.91797642,-64.2708715,-2.688748566,117015613.7,-131704968.7,-7460016.149,35.09558634,-9.068321563,-1.789270729
-41741060.49,-296144812.2,-3293949.708,27.70988275,-63.69384573,-2.726522838,120037365.5,-132476723.1,-7613940.453,34.85311224,-8.798074327,-1.773852083
-39313315.73,-301622248.7,-3531107.773,28.48507795,-63.09508391,-2.763034441,123038358.4,-133225563.7,-7766548.009,34.61504155,-8.53782051,-1.758788326
-36819337.27,-307047031,-3771364.91,29.24297335,-62.47507995,-2.798256188,126018968.7,-133952330.9,-7917868.938,34.38127687,-8.28702686,-1.744067009
-34260644.71,-312417345.4,-4014608.541,29.98299519,-61.83434333,-2.832161966,128979564.2,-134657820.1,-8067932.306,34.15172003,-8.045196684,-1.729676189
-31638806.56,-317731423.5,-4260723.876,30.70458503,-61.17339863,-2.864726753,131920504.2,-135342785.6,-8216766.171,33.92627273,-7.811866839,-1.715604406
-28955438.91,-322987542.3,-4509594.014,31.40720013,-60.49278503,-2.895926632,134842139.6,-136007943,-8364397.619,33.70483702,-7.586605004,-1.701840675
-26212204.04,-328184026.2,-4761100.031,32.09031375,-59.79305586,-2.925738806,137744812.8,-136653971.7,-8510852.808,33.48731574,-7.369007209,-1.688374463
-23410809.05,-333319248.1,-5015121.088,32.75341555,-59.07477806,-2.95414161,140628857.8,-137281517.3,-8656157.003,33.27361286,-7.158695595,-1.675195676
-20553004.4,-338391630.3,-5271534.52,33.39601187,-58.3385317,-2.981114521,143494600.4,-137891193.9,-8800334.619,33.06363376,-6.955316372,-1.66229464
-17640582.5,-343399645.9,-5530215.938,34.01762608,-57.58490946,-3.006638172,146342358.2,-138483586,-8943409.249,32.85728542,-6.758537971,-1.649662084
-14675376.15,-348341819.7,-5791039.332,34.61779881,-56.81451615,-3.03069436,149172441.2,-139059250.4,-9085403.703,32.65447659,-6.56804935,-1.637289124
-11659257.12,-353216729.1,-6053877.169,35.19608829,-56.02796814,-3.053266055,151985151.2,-139618717.7,-9226340.041,32.45511795,-6.38355846,-1.625167246
-8594134.557,-358023005.4,-6318600.495,35.75207054,-55.22589288,-3.074337406,154780782.4,-140162494.1,-9366239.599,32.25912218,-6.204790834,-1.613288289
-5481953.482,-362759334.5,-6585079.039,36.28533968,-54.40892834,-3.093893751,157559621.9,-140691062.9,-9505123.027,32.06640401,-6.031488306,-1.601644429
-2324693.179,-367424458,-6853181.314,36.79550811,-53.57772254,-3.11192162,160321949.1,-141204885.7,-9643010.311,31.87688032,-5.863407835,-1.590228165
875634.3727,-372017173.8,-7122774.72,37.28220676,-52.73293292,-3.128408742,163068036.5,-141704403.6,-9779920.802,31.6904701,-5.700320428,-1.579032305
4116986.11,-376536336.8,-7393725.651,37.74508523,-51.87522591,-3.143344048,165798149.7,-142190038.6,-9915873.242,31.50709451,-5.542010149,-1.56804995
7397289.514,-380980860.2,-7665899.594,38.18381202,-51.00527633,-3.156717672,168512547.6,-142662194.6,-10050885.79,31.32667684,-5.388273218,-1.557274481
10714444.24,-385349715.6,-7939161.238,38.59807468,-50.12376687,-3.168520959,171211482.5,-143121258.4,-10184976.05,31.14914253,-5.238917174,-1.546699546
14066323.79,-389641934.1,-8213374.575,38.98757996,-49.23138754,-3.178746458,173895200.4,-143567600.4,-10318161.07,30.97441911,-5.093760109,-1.53631905
17450777.14,-393856606.4,-8488403.005,39.35205394,-48.32883516,-3.187387931,176563941,-144001576.1,-10450457.41,30.80243622,-4.952629961,-1.526127138
20865630.46,-397992884,-8764109.443,39.69124213,-47.4168128,-3.194440345,179217938.3,-144423526.2,-10581881.11,30.63312551,-4.815363866,-1.51611819
24308688.76,-402049979.3,-9040356.42,40.00490963,-46.49602924,-3.199899875,181857420.2,-144833777.8,-10712447.75,30.46642065,-4.681807554,-1.506286805
27777737.63,-406027166.1,-9317006.19,40.29284118,-45.56719843,-3.203763901,184482609,-145232645.1,-10842172.43,30.30225728,-4.551814796,-1.496627793
