UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
65387113.96,-344693628.7,-10610342.89,45.04254309,-37.0667615,-3.373309027,141750717.3,-159645148.4,-9561997.333,31.51526515,-7.391973722,-1.641272679
69286895.75,-347855027.4,-10901699.39,45.22577343,-36.1129659,-3.370788799,144466473.1,-160275787.9,-9703320.791,31.34980897,-7.207024587,-1.630135646
73201363.94,-350933822,-11192769.39,45.38248842,-35.15475175,-3.366677904,147168025.4,-160890668.2,-9843690.227,31.18647641,-7.027143385,-1.619188018
77128223.31,-353929662.4,-11483415.65,45.51259179,-34.19285286,-3.360980862,149855556.5,-161490218.5,-9983121.794,31.02523709,-6.852130336,-1.60842489
81065171.17,-356842262,-11773501.36,45.61600721,-33.22800447,-3.353703358,152529245.8,-162074851,-10121631.22,30.86606001,-6.681795776,-1.597841503
85009899.1,-359671397.8,-12062890.26,45.69267818,-32.26094278,-3.34485224,155189270.1,-162644962.3,-10259233.85,30.70891368,-6.515959545,-1.587433236
88960094.65,-362416910.4,-12351446.74,45.7425681,-31.29240442,-3.334435504,157835803.6,-163200933.5,-10395944.6,30.5537663,-6.354450414,-1.577195609
92913443.07,-365078704,-12639035.89,45.76566017,-30.32312591,-3.322462291,160469017.6,-163743131.3,-10531778.04,30.40058585,-6.197105549,-1.567124277
96867629.01,-367656746.4,-12925523.69,45.76195732,-29.35384317,-3.308942873,163089080.6,-164271908.8,-10666748.35,30.24934024,-6.04377002,-1.557215026
100820338.2,-370151069.1,-13210777.02,45.73148222,-28.38529101,-3.293888642,165696158.4,-164787605.9,-10800869.35,30.09999735,-5.894296337,-1.547463769
104769259.3,-372561766.9,-13494663.8,45.67427714,-27.41820263,-3.277312103,168290414,-165290550.3,-10934154.52,29.95252518,-5.748544015,-1.537866546
108712085.3,-374888997.8,-13777053.1,45.59040388,-26.45330913,-3.259226857,170872007.7,-165781057.7,-11066617.01,29.80689185,-5.60637918,-1.528419518
112646515.4,-377132982.9,-14057815.17,45.47994368,-25.49133896,-3.239647591,173441097,-166259432.3,-11198269.63,29.6630657,-5.467674183,-1.519118962
116570256.7,-379294006.2,-14336821.63,45.34299712,-24.53301754,-3.218590066,175997836.6,-166725967.9,-11329124.88,29.52101536,-5.332307258,-1.509961272
120481025.9,-381372414.2,-14613945.45,45.17968397,-23.57906664,-3.196071101,178542378.7,-167180947.8,-11459194.95,29.38070974,-5.20016219,-1.500942949
124376550.7,-383368615.5,-14889061.14,44.99014309,-22.63020402,-3.172108563,181074872.6,-167624645.5,-11588491.74,29.24211811,-5.071128007,-1.492060605
128254571.8,-385283080.5,-15162044.77,44.77453227,-21.68714288,-3.146721346,183595465.2,-168057325.2,-11717026.85,29.10521013,-4.945098698,-1.483310953
132112844.1,-387116341.3,-15432774.13,44.53302809,-20.75059141,-3.119929361,186104300.5,-168479242.2,-11844811.6,28.96995586,-4.821972937,-1.474690809
135949138.9,-388868990.5,-15701128.71,44.26582576,-19.82125233,-3.091753519,188601520.3,-168890643,-11971857.06,28.83632579,-4.701653838,-1.466197082
139761244.9,-390541681.4,-15966989.91,43.97313893,-18.89982243,-3.062215714,191087263.6,-169291766.1,-12098174.01,28.70429085,-4.584048715,-1.45782678
143546970,-392135127.5,-16230241.02,43.65519954,-17.98699211,-3.031338807,193561666.9,-169682842.2,-12223773,28.57382245,-4.469068862,-1.449576999
147304143.3,-393650101,-16490767.37,43.31225761,-17.08344494,-2.999146608,196024864.4,-170064094.4,-12348664.31,28.44489247,-4.356629342,-1.441444923
151030615.8,-395087433.6,-16748456.39,42.94458106,-16.18985718,-2.965663862,198476987.8,-170435738.6,-12472857.99,28.31747326,-4.246648798,-1.433427821
