UX,UY,UZ,UVX,UVY,UVZ,PX,PY,PZ,PVX,PVY,PVZ
245087172.8,-309836486.2,-21760232.61,30.22513408,7.332594956,-1.948012947,206863382.2,-194219057.3,-14043404.46,26.76741896,-3.972077152,-1.392455702
247661920.9,-309183147.4,-21926151.19,29.37340602,7.787071964,-1.892626877,209171631.8,-194558074.7,-14163410.43,26.66444161,-3.875845835,-1.385473901
250162541.9,-308491562.1,-22087267.39,28.509337,8.21787099,-1.836853741,211471024.6,-194888854,-14282816.68,26.56239802,-3.781369275,-1.378573114
252587997.5,-307763790.8,-22243549.57,27.63357258,8.624657469,-1.780735383,213761640.8,-195211544.5,-14401630.15,26.46127624,-3.688601451,-1.371751833
254937305.3,-307001922,-22394969.73,26.74676738,9.007113948,-1.724313936,216043559.4,-195526292.2,-14519857.65,26.36106439,-3.59749791,-1.365008581
257209540,-306208070.9,-22541503.51,25.84958465,9.364940335,-1.667631792,218316858.5,-195833238.9,-14637505.84,26.26175068,-3.508015697,-1.358341919
259403833.9,-305384377.9,-22683130.22,24.94269584,9.697854132,-1.610731573,220581615.4,-196132522.8,-14754581.3,26.16332344,-3.420113298,-1.351750441
261519377.8,-304533006.9,-22819832.88,24.02678019,10.00559067,-1.553656107,222837906,-196424278.8,-14871090.45,26.06577107,-3.333750579,-1.345232773
263555421.4,-303656144,-22951598.19,23.10252425,10.28790331,-1.496448397,225085805.5,-196708638.1,-14987039.61,25.96908211,-3.24888873,-1.338787573
265511273.8,-302755996,-23078416.59,22.17062149,10.54456368,-1.439151593,227325388,-196985728.9,-15102434.99,25.87324521,-3.165490212,-1.332413532
267386304.7,-301834788.3,-23200282.26,21.23177176,10.77536185,-1.381808961,229556726.5,-197255676,-15217282.68,25.77824913,-3.083518709,-1.326109369
269179944.2,-300894763.8,-23317193.11,20.28668093,10.98010653,-1.324463859,231779893.3,-197518601,-15331588.66,25.68408278,-3.002939074,-1.319873835
270891683.9,-299938181.2,-23429150.8,19.33606034,11.15862527,-1.2671597,233994959.6,-197774622.9,-15445358.82,25.59073516,-2.923717291,-1.313705708
272521076.8,-298967313.1,-23536160.74,18.38062639,11.31076459,-1.20993993,236201995.6,-198023857.5,-15558598.92,25.49819543,-2.845820421,-1.307603795
274067738.3,-297984444.7,-23638232.1,17.42110002,11.43639018,-1.152847995,238401070.7,-198266417.9,-15671314.63,25.40645287,-2.76921657,-1.30156693
275531345.9,-296991871.8,-23735377.8,16.45820624,11.53538703,-1.095927308,240592253.3,-198502414.5,-15783511.52,25.3154969,-2.693874841,-1.295593974
276911640.3,-295991899.5,-23827614.52,15.49267365,11.60765957,-1.039221225,242775610.9,-198731955,-15895195.07,25.22531709,-2.619765302,-1.289683814
278208425,-294986840.1,-23914962.66,14.52523394,11.65313179,-0.982773009,244951210.2,-198955144.6,-16006370.66,25.13590311,-2.546858944,-1.283835363
279421566.9,-293979011.8,-23997446.37,13.55662139,11.67174738,-0.926625805,247119116.8,-199172086.1,-16117043.57,25.04724481,-2.475127649,-1.278047557
280550996.6,-292970736.7,-24075093.51,12.58757236,11.66346984,-0.870822605,249279395.5,-199382879.7,-16227219,24.95933214,-2.404544158,-1.272319357
